1,99,96,44,14,76,88,55,15,78,0,0
66,28,31,53,75,21,28,87,100,26,78,0
88,97,48,81,40,87,98,91,68,86,0,0
41,44,24,37,99,97,75,40,57,71,0,0
70,10,45,90,81,53,2,67,50,27,35,0
48,96,51,99,25,28,92,35,81,29,0,0
6,37,74,24,89,25,67,71,36,16,15,0
24,88,21,54,47,75,1,72,22,15,0,0
86,27,72,100,80,18,79,62,92,90,33,97
26,69,28,62,20,73,48,9,96,46,0,0
82,32,57,56,100,42,96,51,48,58,0,0
11,93,63,8,2,79,58,46,39,44,0,0
60,78,4,63,8,17,87,69,79,62,47,0
7,11,17,12,36,59,20,88,47,83,0,0
16,74,77,76,62,84,99,28,30,18,0,0
39,72,52,6,35,32,12,85,38,34,55,0
30,75,34,16,33,52,81,98,94,68,0,0
3,16,85,19,27,23,6,10,20,96,48,0
91,40,69,3,4,61,85,45,88,48,0,0
47,56,39,51,37,99,8,63,65,22,0,0
54,73,84,33,48,91,69,2,77,43,0,0
92,58,23,88,52,39,45,89,72,17,2,0
81,82,50,27,32,8,94,84,33,66,0,0
18,14,83,42,19,89,36,95,63,35,0,0
22,89,19,2,11,85,73,31,49,54,97,0
61,19,91,57,94,100,25,42,70,79,18,0
14,52,54,20,26,48,63,80,55,50,0,0
10,54,42,41,79,1,100,94,19,31,11,15
19,34,80,55,68,40,44,56,21,13,49,0
76,22,98,94,43,96,56,14,18,97,0,0
97,47,33,14,92,6,19,68,40,60,0,0
52,39,25,58,42,88,83,65,80,32,8,0
59,100,3,69,87,70,18,97,66,74,37,0
100,17,82,93,59,46,52,18,28,14,0,0
43,13,100,40,22,24,90,25,52,28,62,0
94,57,38,43,93,3,66,92,54,30,0,0
33,51,66,31,54,14,74,57,7,72,0,0
46,31,64,48,34,15,59,77,85,67,0,0
20,53,37,52,21,33,51,38,69,2,0,0
79,64,30,25,95,19,33,22,12,69,0,0
67,71,93,59,91,82,95,5,84,33,0,0
17,43,7,98,63,58,53,75,97,41,0,0
2,29,76,72,86,68,10,58,31,37,0,0
83,45,41,73,1,30,68,8,35,11,0,0
15,60,59,30,98,5,14,54,46,47,0,0
57,80,43,11,38,12,97,79,58,49,54,0
42,41,14,5,53,47,62,49,29,36,0,0
69,86,8,47,9,56,21,1,45,99,0,0
53,6,1,9,88,26,71,19,87,8,0,0
9,30,6,66,7,63,77,86,27,55,0,0
