-1,-1,-1
e48,-2,-2
e25,-2,-2
e80,-2,-2
e11,-2,-2
e20,-2,-2
-1,-1,-1
e83,-2,-2
e81,-2,-2
-1,-1,-1
-1,e34,-2
-1,-1,-1
e5,-2,-2
e50,-2,-2
e14,-2,-2
-1,-1,-1
e10,-2,-2
-1,e39,-2
e29,-2,-2
-1,e59,-2
-1,-1,-1
e70,-2,-2
e82,-2,-2
-1,-1,-1
e44,-2,-2
e1,-2,-2
e32,-2,-2
-1,-1,-1
-1,-1,-1
e33,-2,-2
-1,e74,-2
e57,-2,-2
e38,-2,-2
e6,-2,-2
-1,-1,-1
e45,-2,-2
-1,e88,-2
e86,-2,-2
e19,-2,-2
e97,-2,-2
e85,-2,-2
e2,-2,-2
e24,-2,-2
e77,-2,-2
-1,-1,e36
e22,-2,-2
e69,-2,-2
-1,-1,-1
e26,-2,-2
-1,e87,-2
e15,-2,-2
e16,-2,-2
-1,-1,-1
e9,-2,-2
e66,-2,-2
e7,-2,-2
-1,e58,-2
-1,-1,e90
e42,-2,-2
-1,-1,-1
-1,-1,-1
e28,-2,-2
-1,-1,-1
-1,-1,e56
-1,e92,-2
e17,-2,-2
e3,-2,-2
e40,-2,-2
e99,-2,-2
e30,-2,-2
e46,-2,-2
e35,-2,-2
e54,-2,-2
-1,-1,e75
-1,-1,-1
-1,-1,-1
e64,-2,-2
e73,-2,-2
-1,e72,-2
e8,-2,-2
e55,-2,-2
-1,-1,e65
-1,-1,-1
e18,-2,-2
-1,-1,e31
-1,-1,-1
e68,-2,-2
e84,-2,-2
e12,-2,-2
e78,-2,-2
e52,-2,-2
e21,-2,-2
e98,-2,-2
e51,-2,-2
-1,-1,e76
e62,-2,-2
e23,-2,-2
-1,-1,-1
-1,-1,-1
e13,-2,-2
e4,-2,-2
-1,e91,-2
e27,-2,-2
-1,e47,-2
e49,-2,-2
-1,e53,-2
e95,-2,-2
e37,-2,-2
-1,-1,-1
e43,-2,-2
